product,avg_rating,num_ratings,percent_neg,percent_pos,percent_neu,percent_winter,product_name
AVpgNzjwLJeJML43Kpxn,4.448040273282992,8343,0.025650245714970633,0.4617044228694714,0.5126453314155579,0.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count)
AVpe7nGV1cnluZ0-aG2o,4.25,4,0.0,0.5,0.5,0.0,AmazonBasics Nylon CD/DVD Binder (400 Capacity)
AVpfl8cLLJeJML43AE3S,5.0,2,0.0,0.0,1.0,0.0,Amazon Echo – White
AWK8z0pOIwln0LfXlSxH,5.0,1,0.0,0.0,1.0,0.0,Amazon Echo Show - Black
AWYAV-i9Iwln0LfXqrUq,4.5,2,0.0,0.0,1.0,0.0,Echo Spot Pair Kit (Black)
AWFFfd9KIwln0LfXiOe0,5.0,6,0.0,0.5,0.5,1.0,Fire TV Stick Streaming Media Player Pair Kit
AVpe7xlELJeJML43ypLz,4.453594420600858,3728,0.019045064377682403,0.5799356223175965,0.401019313304721,1.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
AVphC37X1cnluZ0-9mbp,4.166666666666667,12,0.0,0.25,0.75,1.0,AmazonBasics Ventilated Adjustable Laptop Stand
AVpf68A5ilAPnD_xkjSq,4.16,25,0.0,0.2,0.8,0.0,AmazonBasics Backpack for Laptops up to 17-inches
AVpe6nyKLJeJML43yOe2,4.0,6,0.0,0.5,0.5,0.0,AmazonBasics 11.6-Inch Laptop Sleeve
AVpflnS7ilAPnD_xehxE,4.523809523809524,21,0.0,0.23809523809523808,0.7619047619047619,1.0,AmazonBasics 15.6-Inch Laptop and Tablet Bag
AVpfzuRNilAPnD_xipqB,4.5,6,0.0,0.5,0.5,0.0,AmazonBasics External Hard Drive Case
AVpfhcniLJeJML43-t4G,5.0,9,0.0,0.3333333333333333,0.6666666666666666,0.0,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size
AWdDioCIHh53nbDRScLV,5.0,2,0.0,0.0,1.0,1.0,Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet
AVpfIfGA1cnluZ0-emyp,4.666666666666667,39,0.0,0.23076923076923078,0.7692307692307693,1.0,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders
AVpgyLH7ilAPnD_xxQ07,4.8,5,0.0,0.6,0.4,0.0,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries)
AV2ElNnuvKc47QAVouhY,4.0,1,0.0,0.0,1.0,0.0,AmazonBasics Silicone Hot Handle Cover/Holder - Red
AVpfv-vJilAPnD_xhk-O,4.666666666666667,9,0.0,0.3333333333333333,0.6666666666666666,1.0,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord
AVzvXXXN-jtxr-f3z35Q,4.3076923076923075,13,0.0,0.3076923076923077,0.6923076923076923,0.0,Amazon Echo (1st Generationcertified) Color:White Free Shipping
AVpfpK8KLJeJML43BCuD,4.537437603993345,601,0.013311148086522463,0.3594009983361065,0.627287853577371,1.0,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
AVqVGZNvQMlgsOJE6eUY,4.588235294117647,17,0.0,0.29411764705882354,0.7058823529411765,0.0,"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers"
AVpgjNRkilAPnD_xuALS,5.0,6,0.0,0.5,0.5,1.0,AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters)
AVzvV7FHglJLPUi8GzhD,5.0,1,0.0,0.0,1.0,0.0,"Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23"""
AVpe7JuRilAPnD_xQ_M6,1.0,4,0.0,0.5,0.5,0.0,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable
AVpgEm3DLJeJML43Id7b,5.0,5,0.0,0.6,0.4,0.0,AmazonBasics 16-Gauge Speaker Wire - 100 Feet
AWMjXUGdHh53nbDRJ9LA,4.333333333333333,3,0.0,0.3333333333333333,0.6666666666666666,0.0,Amazon Echo (2nd Generation) Smart Assistant Oak Finish Priority Shipping
AVphPmHuilAPnD_x3E5h,4.7267326732673265,505,0.013861386138613862,0.3801980198019802,0.6059405940594059,0.0,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
